disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
AD	3.5938136638046294	0.005	0.07257263214861286	23.16630395190048	-0.003348320778931546	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.045575856607832026	21.516538393073823	-0.003818795461156821	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.04882334540361579	23.09757966177617	-3.1975355122781934e-05	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.026236391509811226	21.35771415250843	-0.0004690503156692394	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.05431953681153456	22.13202476028918	1.6241665145022566e-06	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.001	0.12315826131616912	22.606407591352617	1.4776269519511942e-05	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.031843372977150175	23.617873692516834	-4.999253627691047e-05	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.10117162485857038	21.447137098154577	-0.007061206501346451	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.12559617346607613	23.64164744431622	-0.00028382452964170746	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.11649041270091101	21.965032735125988	-0.001767718471879176	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.1026594370347254	23.165791809907578	-0.003326139562210617	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.05855831598972226	21.51624112851682	-0.0038049270709867855	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.12345339266870918	23.096979346437724	-5.984123897073701e-06	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.035473272658360824	21.357536648797225	-0.0004607354291554788	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.001	0.06835320837480824	22.13164833888913	1.86321354083141e-05	3.59381-0.00100	-0.0016727119820466375	0.08867574720452027	22.45462958340147
AD	3.5938136638046294	0.0001	0.12821928762863258	22.60621680955249	2.3215424671207963e-05	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.0384426536733091	23.617776683934714	-4.588490859247507e-05	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.10735665865386464	21.446952740762566	-0.007052549906446215	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.13177640397562812	23.641419939560958	-0.0002741987483916297	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.12022555959030237	21.964844842723686	-0.00175914919062925	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.1136685241985249	23.16557606806251	-0.0033167956367221585	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.06503838679039668	21.516118844833457	-0.0037992221263765114	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.12986145291876056	23.09676992104157	3.0831504957973266e-06	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.04062967694979994	21.357456077271525	-0.00045696118078653036	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.5938136638046294	0.0001	0.07239634593387606	22.131519289318824	2.446302354919272e-05	3.59381-0.00010	-0.0016654000099228573	0.0947614950313095	22.454465121706228
AD	3.2745491628777317	0.99	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.99	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
