disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
AD	10.0	0.005	0.0	23.42198485526751	-0.00017568386156141536	10.00000-0.00500	-0.001900786533171117	0.0	22.456443640465583
AD	10.0	0.005	0.0	22.803678156811934	-0.005098647919884902	10.00000-0.00500	-0.001900786533171117	0.0	22.456443640465583
AD	10.0	0.005	0.0	21.458739476557536	-0.0073087894385905905	10.00000-0.00500	-0.001900786533171117	0.0	22.456443640465583
AD	10.0	0.005	0.0	21.88002261331125	-0.0014917929767703786	10.00000-0.00500	-0.001900786533171117	0.0	22.456443640465583
AD	10.0	0.005	0.0	21.68238667436931	-0.0007894952403717514	10.00000-0.00500	-0.001900786533171117	0.0	22.456443640465583
AD	10.0	0.001	0.10155356219955376	21.84854119319733	-1.0676497379513705e-06	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.1047949027708335	21.467512375448546	-0.00047070091989676044	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.038488483079838445	26.666002607123893	-0.0030779511981406937	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.09537732039136872	21.722375636953863	-0.00036650789828662766	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.07622643961934349	21.613037875962778	-0.00022023146254501746	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.047570931930448	23.421960308735294	-0.00017463566497188943	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.05233362015174925	22.803652806725644	-0.005097530585335575	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.06981560593635622	21.458707867357152	-0.0073073056503463185	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.022879455556375893	21.880010065368886	-0.001491218632697855	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.001	0.05518251189678723	21.682360191069208	-0.0007882728560952845	10.00000-0.00100	-0.0018995422518053972	0.06642228335326546	22.45641609279426
AD	10.0	0.0001	0.13168190577753597	21.848471296820716	2.131486104728353e-06	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.11415694817604256	21.46744485320631	-0.0004675541172378672	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
